init_Strategy: 0, init_table: 0, init_desp: 0, inti_Stt: 0, init_COstModel: 0
Simulator Device: fifo part=4, smr part=5
totalreq:1780000, readreq:0, wrtreq:1472319, hit:792058, readhit:0, flush_ssd_blk:1472319 flush_hdd_blk:0
totalreq:1790000, readreq:0, wrtreq:1480267, hit:796744, readhit:0, flush_ssd_blk:1480267 flush_hdd_blk:0
totalreq:1800000, readreq:0, wrtreq:1488091, hit:800874, readhit:0, flush_ssd_blk:1488091 flush_hdd_blk:0
totalreq:1810000, readreq:0, wrtreq:1496059, hit:805339, readhit:0, flush_ssd_blk:1496059 flush_hdd_blk:0
totalreq:1820000, readreq:0, wrtreq:1504102, hit:810253, readhit:0, flush_ssd_blk:1504102 flush_hdd_blk:0
totalreq:1830000, readreq:0, wrtreq:1511967, hit:814743, readhit:0, flush_ssd_blk:1511967 flush_hdd_blk:0
totalreq:1840000, readreq:0, wrtreq:1520006, hit:819713, readhit:0, flush_ssd_blk:1520006 flush_hdd_blk:0
totalreq:1850000, readreq:0, wrtreq:1528097, hit:824078, readhit:0, flush_ssd_blk:1528097 flush_hdd_blk:0
totalreq:1860000, readreq:0, wrtreq:1536047, hit:828115, readhit:0, flush_ssd_blk:1536047 flush_hdd_blk:0
totalreq:1870000, readreq:0, wrtreq:1543974, hit:832778, readhit:0, flush_ssd_blk:1543974 flush_hdd_blk:0
totalreq:1880000, readreq:0, wrtreq:1552176, hit:837055, readhit:0, flush_ssd_blk:1552176 flush_hdd_blk:0
totalreq:1890000, readreq:0, wrtreq:1560173, hit:841003, readhit:0, flush_ssd_blk:1560173 flush_hdd_blk:0
totalreq:1900000, readreq:0, wrtreq:1568257, hit:845677, readhit:0, flush_ssd_blk:1568257 flush_hdd_blk:0
totalreq:1910000, readreq:0, wrtreq:1576167, hit:850488, readhit:0, flush_ssd_blk:1576167 flush_hdd_blk:0
totalreq:1920000, readreq:0, wrtreq:1584164, hit:855509, readhit:0, flush_ssd_blk:1584164 flush_hdd_blk:0
totalreq:1930000, readreq:0, wrtreq:1592197, hit:861081, readhit:0, flush_ssd_blk:1592197 flush_hdd_blk:0
totalreq:1940000, readreq:0, wrtreq:1599910, hit:866212, readhit:0, flush_ssd_blk:1599910 flush_hdd_blk:0
totalreq:1950000, readreq:0, wrtreq:1607691, hit:871031, readhit:0, flush_ssd_blk:1607691 flush_hdd_blk:0
